"","Country Code","Year","Count"
"810","BGD",2008,144304167
"811","BGD",2015,156256276
"812","BGD",1972,66625705
"813","BRB",2007,278700
"814","BRB",1993,263874
"815","BRB",1992,262886
"816","BRB",1971,240094
"817","BRB",2012,283700
"818","BRB",1986,257107
"819","BRB",1985,256263
"820","BRB",1975,246154
"821","BRB",1968,237241
"822","BRB",2002,273425
"823","BRB",2013,284296
"824","BRB",1966,236088
"825","BRB",1967,236659
"826","BRB",1987,258019
"827","BRB",1965,235413
"828","BRB",1998,269336
"829","BRB",2016,285796
"830","BRB",1969,237955
"831","BRB",2010,282131
"832","BRB",1980,252394
"833","BRB",2017,286233
"834","BRB",1994,264893
"835","BRB",2015,285324
"836","BRB",2001,272500
"837","BRB",1999,270451
"838","BRB",1997,268187
"839","BRB",1983,254788
"840","BRB",2008,279946
"841","BRB",1995,265955
"842","BRB",1977,248937
"843","BRB",2003,274329
"844","BRB",1972,241515
"845","BRB",1962,232633
"846","BRB",1970,238896
"847","BRB",2006,277477
"848","BRB",2000,271515
"849","BRB",1961,231718
"850","BRB",1984,255497
"851","BRB",2009,281104
"852","BRB",1963,233630
"853","BRB",1991,261905
"854","BRB",1989,259957
"855","BRB",1973,243069
"856","BRB",1974,244644
"857","BRB",1996,267049
"858","BRB",1981,253298
"859","BRB",1982,254082
"860","BRB",2011,282987
"861","BRB",1990,260936
"862","BRB",1960,230980
"863","BRB",1988,258977
"864","BRB",2014,284825
"865","BRB",2005,276323
"866","BRB",1976,247583
"867","BRB",1964,234586
"868","BRB",1978,250203
"869","BRB",2004,275284
"870","BRB",1979,251351
"871","BLR",2016,9501534
"872","BLR",1978,9525000
"873","BLR",1990,10189000
"874","BLR",1972,9188968
"875","BLR",2001,9928549
"876","BLR",2000,9979610
"877","BLR",1991,10194000
"878","BLR",2014,9474511
"879","BLR",2004,9730146
"880","BLR",1979,9584000
"881","BLR",1982,9776000
"882","BLR",1973,9257272
"883","BLR",1977,9463000
"884","BLR",1981,9710000
"885","BLR",1988,10140000
"886","BLR",1980,9643000
"887","BLR",1971,9115576
"888","BLR",1987,10111000
"889","BLR",2015,9489616
"890","BLR",1995,10194000
"891","BLR",2010,9490583
"892","BLR",1964,8524224
"893","BLR",1986,10043000
"894","BLR",1989,10170000
"895","BLR",1962,8351928
"896","BLR",1994,10227000
"897","BLR",1960,8198000
"898","BLR",1974,9317584
"899","BLR",1961,8271216
"900","BLR",1996,10160000
"901","BLR",1999,10026738
"902","BLR",2003,9796749
"903","BLR",2007,9560953
"904","BLR",2008,9527985
"905","BLR",2005,9663915
"906","BLR",1969,8960304
"907","BLR",1965,8610000
"908","BLR",2006,9604924
"909","BLR",1984,9910000
"910","BLR",1963,8437232
"911","BLR",2012,9464495
"912","BLR",1967,8785648
"913","BLR",2009,9506765
"914","BLR",1976,9411000
"915","BLR",1968,8874552
"916","BLR",2013,9465997
"917","BLR",2002,9865548
"918","BLR",1985,9975000
"919","BLR",1970,9040000
"920","BLR",1992,10216000
"921","BLR",2011,9473172
"922","BLR",1966,8696496
"923","BLR",1993,10239000
"924","BLR",2017,9498264
"925","BLR",1975,9367000
"926","BLR",1983,9843000
"927","BLR",1998,10069000
"928","BLR",1997,10117000
"929","BEL",1983,9855520
"930","BEL",1967,9580991
"931","BEL",1996,10156637
"932","BEL",1977,9830358
"933","BEL",1997,10181245
"934","BEL",2011,11038264
"935","BEL",1998,10203008
"936","BEL",1964,9378113
"937","BEL",1965,9463667
"938","BEL",2017,11375158
"939","BEL",1975,9800700
"940","BEL",2006,10547958
